behaviorLogId,studentId,yearGroup,academicYear,date,primaryCategory,subcategory,severity,details,status,dateResolved
1019,1325,2,2021/22,2022-06-26,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Resolved,2022-09-14
1020,1325,2,2021/22,2022-04-22,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
1021,1325,2,2021/22,2022-06-20,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
1022,1326,2,2021/22,2022-06-16,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Resolved,2022-06-26
1023,1326,2,2021/22,2022-03-23,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Resolved,2022-05-20
1024,1327,2,2021/22,2021-09-24,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
1025,1327,2,2021/22,2022-03-07,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
1026,1328,2,2021/22,2022-04-17,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
1027,1328,2,2021/22,2021-10-20,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
1028,1328,2,2021/22,2021-10-26,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
1029,1329,2,2021/22,2022-01-11,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
1030,1329,2,2021/22,2021-12-31,Aggressive/Unsafe Behavior,Verbal Aggression,Mild,The student used abusive or offensive language.,Pending,
1031,1330,2,2021/22,2022-06-12,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Resolved,2022-09-05
1032,1330,2,2021/22,2021-12-06,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Pending,
1033,1330,2,2021/22,2022-03-03,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Pending,
1034,1331,2,2021/22,2022-06-19,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Resolved,2022-07-25
1035,1331,2,2021/22,2021-10-02,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Resolved,2021-12-09
1036,1332,2,2021/22,2022-02-15,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
1037,1332,2,2021/22,2021-09-05,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Resolved,2021-10-04
1038,1332,2,2021/22,2022-06-05,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Resolved,2022-06-11
1039,1333,2,2021/22,2021-12-18,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
1040,1333,2,2021/22,2022-05-17,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Pending,
1041,1333,2,2021/22,2022-01-03,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
1042,1334,2,2021/22,2022-07-14,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
1043,1334,2,2021/22,2022-06-19,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Resolved,2022-09-08
1044,1335,2,2021/22,2021-09-19,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
1045,1335,2,2021/22,2021-11-16,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
1046,1336,2,2021/22,2022-01-15,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Resolved,2022-01-23
1047,1336,2,2021/22,2022-01-23,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Resolved,2022-02-04
1048,1336,2,2021/22,2022-03-11,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
1049,1337,2,2021/22,2022-05-24,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Resolved,2022-08-09
1050,1338,2,2021/22,2022-01-30,Engagement/Participation,Not Completing Assignments,Severe,The student failed to submit or complete assigned tasks.,Pending,
1051,1338,2,2021/22,2022-03-25,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Pending,
1052,1338,2,2021/22,2022-03-12,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Pending,
1053,1339,2,2021/22,2021-12-17,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
1054,1339,2,2021/22,2021-12-06,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Resolved,2022-02-16
1055,1001,3,2021/22,2021-10-29,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
1056,1001,3,2021/22,2022-06-23,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
1057,1002,3,2021/22,2022-03-09,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Resolved,2022-04-05
1058,1004,3,2021/22,2021-10-24,Engagement/Participation,Lack of Participation,Mild,The student did not participate in class activities.,Resolved,2022-01-01
1059,1005,3,2021/22,2022-02-21,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
1060,1006,3,2021/22,2022-03-03,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
1061,1006,3,2021/22,2021-10-03,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
1062,1007,3,2021/22,2022-06-11,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
1063,1007,3,2021/22,2022-07-09,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Pending,
1064,1008,3,2021/22,2021-09-30,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Pending,
1065,1008,3,2021/22,2022-07-22,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Resolved,2022-10-17
1066,1010,3,2021/22,2021-12-14,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
1067,1010,3,2021/22,2021-12-27,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Pending,
1068,1012,3,2021/22,2022-06-30,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
1069,1012,3,2021/22,2021-12-30,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
1070,1014,3,2021/22,2021-12-20,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Pending,
1071,1014,3,2021/22,2022-03-18,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Resolved,2022-04-09
1072,1017,3,2021/22,2022-06-25,Engagement/Participation,Lack of Participation,Severe,The student did not participate in class activities.,Pending,
1073,1017,3,2021/22,2022-04-17,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
1074,1017,3,2021/22,2021-09-03,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Resolved,2021-11-14
1075,1018,3,2021/22,2021-12-10,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
1076,1020,3,2021/22,2022-05-21,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
1077,1020,3,2021/22,2022-01-02,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Resolved,2022-02-21
1078,1021,3,2021/22,2021-11-15,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Pending,
1079,1021,3,2021/22,2021-10-01,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Resolved,2021-12-20
1080,1022,3,2021/22,2022-04-09,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
1081,1023,3,2021/22,2021-09-28,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
1082,1024,3,2021/22,2022-03-08,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
1083,1024,3,2021/22,2022-02-25,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
1084,1025,3,2021/22,2022-07-01,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Resolved,2022-09-29
1085,1025,3,2021/22,2022-05-08,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
1086,1025,3,2021/22,2021-12-22,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
1087,1026,3,2021/22,2021-10-21,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
1088,1026,3,2021/22,2021-12-14,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
1089,1027,3,2021/22,2022-05-01,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Pending,
1090,1028,3,2021/22,2021-09-07,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
1091,1028,3,2021/22,2021-09-28,Engagement/Participation,Sleeping in Class,Moderate,The student was found sleeping during a lecture.,Pending,
1092,1028,3,2021/22,2021-10-04,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Pending,
1093,1029,3,2021/22,2021-11-18,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
1094,1029,3,2021/22,2021-10-06,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
1095,1029,3,2021/22,2021-10-08,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
1096,1030,3,2021/22,2022-07-08,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Pending,
1097,1030,3,2021/22,2022-04-26,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
1098,1030,3,2021/22,2022-06-13,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
1099,1031,3,2021/22,2022-02-10,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
1100,1031,3,2021/22,2021-09-24,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Resolved,2021-10-08
1101,1032,3,2021/22,2022-03-05,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Resolved,2022-05-09
1102,1032,3,2021/22,2021-10-22,Safety and Discipline,Vandalism,Moderate,The student damaged school property intentionally.,Pending,
1103,1034,3,2021/22,2022-01-21,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
1104,1035,3,2021/22,2022-03-03,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
1105,1035,3,2021/22,2022-02-13,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
1106,1035,3,2021/22,2022-03-23,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
1107,1036,3,2021/22,2021-09-13,Engagement/Participation,Lack of Participation,Severe,The student did not participate in class activities.,Resolved,2021-11-15
1108,1036,3,2021/22,2022-03-12,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
1109,1036,3,2021/22,2021-10-02,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Resolved,2021-12-02
1110,1039,3,2021/22,2022-03-12,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Resolved,2022-04-18
1111,1040,3,2021/22,2022-01-10,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Resolved,2022-04-01
1112,1041,3,2021/22,2022-05-07,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Pending,
1113,1041,3,2021/22,2021-09-03,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
1114,1041,3,2021/22,2021-09-19,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Resolved,2021-11-19
1115,1042,3,2021/22,2022-01-12,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Pending,
1116,1042,3,2021/22,2021-11-17,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
1117,1042,3,2021/22,2022-05-28,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
1118,1043,3,2021/22,2021-11-23,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
1119,1043,3,2021/22,2022-02-22,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
1120,1046,3,2021/22,2022-02-07,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
1121,1046,3,2021/22,2022-02-12,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
1122,1047,3,2021/22,2021-10-18,Safety and Discipline,Vandalism,Moderate,The student damaged school property intentionally.,Pending,
1123,1047,3,2021/22,2022-04-08,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Resolved,2022-06-01
1124,1048,3,2021/22,2021-11-06,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
1125,1048,3,2021/22,2022-05-05,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Pending,
1126,1049,3,2021/22,2022-05-03,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Pending,
1127,1049,3,2021/22,2022-06-09,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
1128,1049,3,2021/22,2021-10-23,Aggressive/Unsafe Behavior,Verbal Aggression,Mild,The student used abusive or offensive language.,Pending,
1129,1051,4,2021/22,2022-03-07,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Resolved,2022-03-20
1130,1052,4,2021/22,2021-09-03,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Resolved,2021-09-06
1131,1052,4,2021/22,2022-07-29,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
1132,1053,4,2021/22,2022-06-29,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
1133,1053,4,2021/22,2022-04-19,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
1134,1054,4,2021/22,2022-07-24,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
1135,1054,4,2021/22,2022-06-08,Safety and Discipline,Vandalism,Moderate,The student damaged school property intentionally.,Resolved,2022-06-22
1136,1054,4,2021/22,2022-05-09,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Resolved,2022-06-12
1137,1056,4,2021/22,2021-10-14,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Pending,
1138,1056,4,2021/22,2022-01-25,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
1139,1056,4,2021/22,2022-04-09,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
1140,1057,4,2021/22,2022-05-08,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
1141,1057,4,2021/22,2022-05-04,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Resolved,2022-06-01
1142,1057,4,2021/22,2022-07-03,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
1143,1059,4,2021/22,2021-10-25,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Resolved,2021-12-13
1144,1061,4,2021/22,2022-07-29,Engagement/Participation,Not Completing Assignments,Severe,The student failed to submit or complete assigned tasks.,Resolved,2022-10-14
1145,1061,4,2021/22,2022-06-04,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Resolved,2022-07-21
1146,1062,4,2021/22,2021-12-01,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Pending,
1147,1062,4,2021/22,2021-09-09,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Resolved,2021-10-01
1148,1063,4,2021/22,2022-04-07,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
1149,1064,4,2021/22,2021-09-03,Engagement/Participation,Not Completing Assignments,Severe,The student failed to submit or complete assigned tasks.,Pending,
1150,1064,4,2021/22,2021-12-27,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Pending,
1151,1065,4,2021/22,2022-04-25,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Pending,
1152,1065,4,2021/22,2022-03-03,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
1153,1066,4,2021/22,2022-06-04,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
1154,1067,4,2021/22,2022-06-28,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
1155,1067,4,2021/22,2022-07-09,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Resolved,2022-08-31
1156,1067,4,2021/22,2022-03-24,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
1157,1068,4,2021/22,2022-01-09,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
1158,1068,4,2021/22,2022-04-12,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
1159,1070,4,2021/22,2021-11-22,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
1160,1072,4,2021/22,2021-11-18,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
1161,1072,4,2021/22,2021-11-09,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Resolved,2021-11-18
1162,1073,4,2021/22,2022-07-07,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Pending,
1163,1073,4,2021/22,2021-09-03,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
1164,1073,4,2021/22,2021-12-15,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
1165,1074,4,2021/22,2022-01-04,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Pending,
1166,1074,4,2021/22,2021-10-08,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
1167,1074,4,2021/22,2022-07-21,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Pending,
1168,1075,4,2021/22,2021-09-13,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
1169,1075,4,2021/22,2022-03-25,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Resolved,2022-06-08
1170,1076,4,2021/22,2021-11-30,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
1171,1076,4,2021/22,2022-03-09,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Resolved,2022-05-17
1172,1077,4,2021/22,2022-01-13,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
1173,1077,4,2021/22,2021-12-24,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
1174,1077,4,2021/22,2022-01-27,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Resolved,2022-03-02
1175,1078,4,2021/22,2022-04-05,Engagement/Participation,Not Completing Assignments,Severe,The student failed to submit or complete assigned tasks.,Pending,
1176,1078,4,2021/22,2022-02-11,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Pending,
1177,1079,4,2021/22,2022-07-05,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
1178,1080,4,2021/22,2022-07-10,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
1179,1080,4,2021/22,2022-07-19,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Resolved,2022-10-02
1180,1081,4,2021/22,2022-07-30,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
1181,1081,4,2021/22,2022-02-25,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
1182,1081,4,2021/22,2021-09-29,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Pending,
1183,1083,4,2021/22,2021-09-07,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Pending,
1184,1083,4,2021/22,2022-04-13,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Resolved,2022-04-23
1185,1083,4,2021/22,2021-10-01,Engagement/Participation,Off-Task,Mild,The student was frequently distracted and off-task during lessons.,Pending,
1186,1086,4,2021/22,2022-03-30,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
1187,1086,4,2021/22,2022-03-16,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Resolved,2022-05-21
1188,1086,4,2021/22,2021-11-28,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
1189,1087,4,2021/22,2022-01-12,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
1190,1087,4,2021/22,2021-10-21,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
1191,1087,4,2021/22,2021-12-19,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
1192,1088,4,2021/22,2022-01-03,Engagement/Participation,Off-Task,Mild,The student was frequently distracted and off-task during lessons.,Pending,
1193,1088,4,2021/22,2022-01-23,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
1194,1089,4,2021/22,2022-07-31,Engagement/Participation,Lack of Participation,Mild,The student did not participate in class activities.,Pending,
1195,1090,4,2021/22,2022-05-27,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
1196,1090,4,2021/22,2022-06-18,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
1197,1090,4,2021/22,2022-05-14,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
1198,1091,4,2021/22,2022-02-20,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Resolved,2022-04-05
1199,1091,4,2021/22,2022-02-13,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Resolved,2022-04-26
1200,1093,4,2021/22,2021-09-05,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Resolved,2021-10-11
1201,1093,4,2021/22,2022-03-10,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Pending,
1202,1094,4,2021/22,2022-05-20,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
1203,1094,4,2021/22,2022-05-31,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
1204,1095,4,2021/22,2022-02-27,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Pending,
1205,1096,4,2021/22,2022-03-21,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
1206,1096,4,2021/22,2022-02-04,Engagement/Participation,Sleeping in Class,Moderate,The student was found sleeping during a lecture.,Pending,
1207,1096,4,2021/22,2022-02-26,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
1208,1097,4,2021/22,2022-06-24,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
1209,1098,4,2021/22,2022-05-27,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
1210,1098,4,2021/22,2022-01-16,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Pending,
1211,1098,4,2021/22,2022-04-12,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
1212,1099,5,2021/22,2022-01-23,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
1213,1099,5,2021/22,2021-11-23,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
1214,1099,5,2021/22,2022-02-09,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
1215,1100,5,2021/22,2021-11-04,Engagement/Participation,Lack of Participation,Severe,The student did not participate in class activities.,Pending,
1216,1100,5,2021/22,2022-06-21,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
1217,1103,5,2021/22,2022-07-25,Engagement/Participation,Lack of Participation,Severe,The student did not participate in class activities.,Pending,
1218,1103,5,2021/22,2022-02-10,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Resolved,2022-05-11
1219,1104,5,2021/22,2021-12-04,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Resolved,2021-12-14
1220,1104,5,2021/22,2021-09-07,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Pending,
1221,1105,5,2021/22,2022-05-21,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
1222,1105,5,2021/22,2021-10-15,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Pending,
1223,1105,5,2021/22,2022-07-29,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
1224,1106,5,2021/22,2022-04-27,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
1225,1106,5,2021/22,2021-12-27,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Pending,
1226,1106,5,2021/22,2022-02-27,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
1227,1107,5,2021/22,2021-09-09,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
1228,1108,5,2021/22,2022-04-27,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Pending,
1229,1108,5,2021/22,2022-07-19,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Resolved,2022-09-23
1230,1108,5,2021/22,2021-09-08,Aggressive/Unsafe Behavior,Verbal Aggression,Mild,The student used abusive or offensive language.,Pending,
1231,1109,5,2021/22,2022-07-03,Safety and Discipline,Vandalism,Moderate,The student damaged school property intentionally.,Resolved,2022-07-27
1232,1109,5,2021/22,2022-01-22,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
1233,1109,5,2021/22,2021-10-12,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Resolved,2021-10-17
1234,1110,5,2021/22,2022-06-20,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
1235,1112,5,2021/22,2021-10-10,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
1236,1112,5,2021/22,2022-03-06,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
1237,1113,5,2021/22,2021-10-05,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
1238,1115,5,2021/22,2022-02-09,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Resolved,2022-05-02
1239,1116,5,2021/22,2021-09-09,Engagement/Participation,Sleeping in Class,Moderate,The student was found sleeping during a lecture.,Pending,
1240,1117,5,2021/22,2021-10-22,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Pending,
